task_id	hash	native_id	name	exit	duration	realtime	%cpu	%mem	rss	vmem	rchar	wchar
74	88/6b0817	68374	4_dedup_merge (gonl-25c)	0	2m 7s	2m	58.4%	3.0%	485.4 MB	3.8 GB	66.1 MB	1.6 MB
77	50/68e783	68520	4_dedup_merge (gonl-198c)	0	1m 46s	1m 44s	165.2%	3.1%	496 MB	3.8 GB	64.6 MB	2 MB
73	ac/74e3e5	68342	4_dedup_merge (gonl-198a)	0	1m 54s	1m 48s	98.5%	3.0%	482.1 MB	3.8 GB	64.6 MB	1.5 MB
69	b0/375c9d	68204	4_dedup_merge (gonl-25b)	0	2m 8s	1m 58s	52.4%	3.0%	485.6 MB	3.8 GB	65.6 MB	1.6 MB
64	54/1953af	67980	3_merge_bam (gonl-25a)	0	8.2s	939ms	103.9%	0.7%	116.5 MB	618.2 MB	931 KB	454.5 KB
80	fd/093741	68626	5_varcall (gonl-16b)	0	1m 28s	1m 21s	63.5%	3.1%	497.2 MB	3.2 GB	51.9 MB	486.8 KB
76	e7/8b111c	68442	4_dedup_merge (gonl-16c)	0	1m 58s	1m 52s	62.4%	3.0%	487.9 MB	3.8 GB	63.8 MB	1.5 MB
83	18/85478f	68740	5_varcall (gonl-25c)	0	1m 20s	1m 14s	63.0%	3.0%	477.8 MB	3.2 GB	51.9 MB	486.8 KB
78	c1/65c4ef	68554	5_varcall (gonl-198a)	0	1m 22s	1m 16s	98.1%	3.0%	479 MB	3.2 GB	51.9 MB	486.8 KB
85	ca/7de9f1	68833	5_varcall (gonl-198b)	0	25.6s	17.8s	211.3%	3.1%	504.3 MB	3.2 GB	52.7 MB	488.1 KB
84	6a/f046f4	68776	5_varcall (gonl-16a)	0	1m 17s	1m 12s	61.9%	2.9%	475.4 MB	3.2 GB	52 MB	486.8 KB
86	a0/b57759	68889	5_varcall (gonl-198c)	0	17.5s	12.9s	245.2%	2.9%	470.7 MB	3.2 GB	51.7 MB	486.6 KB
82	3d/e4707d	68698	5_varcall (gonl-25b)	0	1m 23s	1m 18s	60.9%	2.9%	471.3 MB	3.2 GB	51.9 MB	486.7 KB
70	b2/f94dee	68238	4_dedup_merge (gonl-25a)	0	2m 2s	1m 53s	76.3%	3.0%	481.9 MB	3.8 GB	64.4 MB	1.5 MB
81	59/4f4c9a	68662	5_varcall (gonl-16c)	0	1m 24s	1m 19s	55.9%	3.0%	482.2 MB	3.2 GB	51.9 MB	486.5 KB
79	4a/f67dd3	68590	5_varcall (gonl-25a)	0	1m 23s	1m 17s	90.9%	3.1%	504.8 MB	3.2 GB	52 MB	486.8 KB
90	d6/22ecb8	68936	7_merge_family (gonl-25)	0	36.9s	31.6s	102.5%	2.7%	441 MB	3.2 GB	45.5 MB	26.3 KB
92	db/fb0e85	68937	7_merge_family (gonl-16)	0	36.8s	32.6s	77.6%	2.7%	441 MB	3.2 GB	44.1 MB	15.2 KB
91	64/9b3e9c	68942	7_merge_family (gonl-198)	0	37s	29.4s	89.1%	2.7%	443 MB	3.2 GB	46.1 MB	15.2 KB
88	11/0a05a3	68953	6_combine_vcf (gonl-25)	0	36.7s	32.8s	146.9%	2.7%	430.5 MB	3.2 GB	43.9 MB	154.1 KB
87	97/3b3bb2	68949	6_combine_vcf (gonl-198)	0	36.3s	33s	65.7%	2.8%	448.4 MB	3.2 GB	43.9 MB	143 KB
89	59/ba85f7	68947	6_combine_vcf (gonl-16)	0	30.5s	26.2s	195.9%	2.7%	438.8 MB	3.2 GB	43.9 MB	142.8 KB
95	b7/80bcde	69254	8_phase_by_transmission (gonl-198)	0	14.7s	7.9s	131.7%	0.8%	137.5 MB	3.1 GB	63.2 MB	18.7 KB
94	da/16081f	69220	8_phase_by_transmission (gonl-25)	0	14.3s	7.7s	122.8%	0.8%	137.5 MB	3.1 GB	64 MB	18.6 KB
93	20/6dd518	69188	8_phase_by_transmission (gonl-16)	0	12.5s	8.2s	355.0%	1.9%	305.1 MB	3.1 GB	70.4 MB	18.9 KB
96	4d/6ae673	69298	9_merge_pbt	0	6.7s	2.2s	240.0%	0.6%	94.8 MB	3.1 GB	18 MB	62 B
97	02/b100ce	69335	10a_snps_filtering	0	7.2s	5.2s	249.1%	0.7%	113.3 MB	3.1 GB	19.4 MB	62 B
98	08/92276c	69334	10b_indels_filtering	0	7.2s	5.5s	122.8%	0.4%	60.8 MB	3.1 GB	17 MB	62 B
99	60/00f858	69398	11_combine_filtered	0	7s	2.2s	287.5%	0.4%	60.3 MB	3.1 GB	17 MB	62 B
