sample_alias	file_stable_id	archive_ebi_fullpath
gonl-3a	EGAF00000516691	/fire/A/ega/vol1/EGAR00001190187/fastq/101110_I436_FC80E4BABXX_L6_HUMhxsRGJDIAAPE_1.fq.gz.gpg
gonl-3a	EGAF00000516692	/fire/A/ega/vol1/EGAR00001190187/fastq/101110_I436_FC80E4BABXX_L6_HUMhxsRGJDIAAPE_2.fq.gz.gpg
gonl-3a	EGAF00000516693	/fire/A/ega/vol1/EGAR00001190187/fastq/101110_I441_FC80H6EABXX_L4_HUMhxsRGJDIABPE_1.fq.gz.gpg
gonl-3a	EGAF00000516694	/fire/A/ega/vol1/EGAR00001190187/fastq/101110_I441_FC80H6EABXX_L4_HUMhxsRGJDIABPE_2.fq.gz.gpg
gonl-3a	EGAF00000516695	/fire/A/ega/vol1/EGAR00001190187/fastq/101112_I283_FC80E4YABXX_L4_HUMhxsRGJDIBAPE_1.fq.gz.gpg
gonl-3a	EGAF00000516696	/fire/A/ega/vol1/EGAR00001190187/fastq/101112_I283_FC80E4YABXX_L4_HUMhxsRGJDIBAPE_2.fq.gz.gpg
gonl-3b	EGAF00000516697	/fire/A/ega/vol1/EGAR00001190188/fastq/101110_I436_FC80E4BABXX_L7_HUMhxsRGKDIAAPE_1.fq.gz.gpg
gonl-3b	EGAF00000516698	/fire/A/ega/vol1/EGAR00001190188/fastq/101110_I436_FC80E4BABXX_L7_HUMhxsRGKDIAAPE_2.fq.gz.gpg
gonl-3b	EGAF00000516699	/fire/A/ega/vol1/EGAR00001190188/fastq/101110_I441_FC80H6EABXX_L5_HUMhxsRGKDIABPE_1.fq.gz.gpg
gonl-3b	EGAF00000516700	/fire/A/ega/vol1/EGAR00001190188/fastq/101110_I441_FC80H6EABXX_L5_HUMhxsRGKDIABPE_2.fq.gz.gpg
gonl-3b	EGAF00000516701	/fire/A/ega/vol1/EGAR00001190188/fastq/101112_I283_FC80E4YABXX_L5_HUMhxsRGKDIBAPE_1.fq.gz.gpg
gonl-3b	EGAF00000516702	/fire/A/ega/vol1/EGAR00001190188/fastq/101112_I283_FC80E4YABXX_L5_HUMhxsRGKDIBAPE_2.fq.gz.gpg
gonl-3c	EGAF00000516703	/fire/A/ega/vol1/EGAR00001190189/fastq/101110_I436_FC80E4BABXX_L8_HUMhxsRGLDIAAPE_1.fq.gz.gpg
gonl-3c	EGAF00000516704	/fire/A/ega/vol1/EGAR00001190189/fastq/101110_I436_FC80E4BABXX_L8_HUMhxsRGLDIAAPE_2.fq.gz.gpg
gonl-3c	EGAF00000516705	/fire/A/ega/vol1/EGAR00001190189/fastq/101110_I441_FC80H6EABXX_L6_HUMhxsRGLDIABPE_1.fq.gz.gpg
gonl-3c	EGAF00000516706	/fire/A/ega/vol1/EGAR00001190189/fastq/101110_I441_FC80H6EABXX_L6_HUMhxsRGLDIABPE_2.fq.gz.gpg
gonl-3c	EGAF00000516707	/fire/A/ega/vol1/EGAR00001190189/fastq/101112_I283_FC80E4YABXX_L6_HUMhxsRGLDIBAPE_1.fq.gz.gpg
gonl-3c	EGAF00000516708	/fire/A/ega/vol1/EGAR00001190189/fastq/101112_I283_FC80E4YABXX_L6_HUMhxsRGLDIBAPE_2.fq.gz.gpg
